channel,subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa,valid,invalid_reason
PO4,sub-009,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.5263432986542022,0.65,0.6413844622565458,0.6440266353309831,,0.4750000000000001,True,
PO4,sub-010,"{""C"": 0.42813323987193935, ""gamma"": ""scale""}",0.5534143527491643,0.45819397993311034,0.45225460234789466,0.5082498715973293,,0.18673606447280056,True,
PO4,sub-011,"{""C"": 0.6158482110660264, ""gamma"": ""scale""}",0.5659136578223238,0.38333333333333336,0.3771721960976766,0.3933533019540722,,0.07499999999999996,True,
PO5,sub-001,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.5855414920209971,0.43333333333333335,0.4338846912938994,0.4381637870625849,,0.15000000000000002,True,
PO5,sub-002,"{""C"": 0.20691380811147894, ""gamma"": ""scale""}",0.5014091086854964,0.6933333333333334,0.6679991748484899,0.7049141028275394,,0.54,True,
PO5,sub-003,"{""C"": 100.0, ""gamma"": ""auto""}",0.5212660552548979,0.5666666666666667,0.5656788012842543,0.5701733433543706,,0.35,True,
PO5,sub-004,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.5243934744990961,0.6166666666666667,0.6149764543954229,0.6141560765740522,,0.42500000000000004,True,
PO5,sub-005,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.5408785877312406,0.48,0.48005833301423856,0.48088031566394623,,0.21999999999999997,True,
PO5,sub-006,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.5598469993532437,0.4066666666666667,0.4027403202741562,0.4176893889034064,,0.10999999999999999,True,
PO5,sub-007,"{""C"": 0.42813323987193935, ""gamma"": ""scale""}",0.5361008977723029,0.5433333333333333,0.5388488845326194,0.5883769447288077,,0.31499999999999995,True,
PO5,sub-008,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.5245011270872795,0.49666666666666665,0.49126337714573015,0.4944836476654659,,0.245,True,
PO5,sub-009,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.5586835550542764,0.44333333333333336,0.4390579998544975,0.4388682349927009,,0.16500000000000004,True,
PO5,sub-010,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.5296309485697294,0.5886287625418061,0.5878538325116395,0.590282367591015,,0.3830501082015064,True,
PO5,sub-011,"{""C"": 0.8858667904100825, ""gamma"": ""scale""}",0.5820808025798495,0.35333333333333333,0.31686836294589854,0.3536124476891027,,0.030000000000000027,True,
PO6,sub-001,"{""C"": 100.0, ""gamma"": ""scale""}",0.5470410725613442,0.5166666666666667,0.5162414163446155,0.5211196060021392,,0.275,True,
PO6,sub-002,"{""C"": 69.51927961775604, ""gamma"": ""scale""}",0.5228856613981201,0.71,0.7118328460530297,0.7212360479536999,,0.565,True,
PO6,sub-003,"{""C"": 0.42813323987193935, ""gamma"": ""scale""}",0.574127597357514,0.4866666666666667,0.48392859157104035,0.5014949888367609,,0.22999999999999998,True,
PO6,sub-004,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.554021823587041,0.62,0.6086422231690111,0.6146119893470926,,0.43000000000000005,True,
PO6,sub-005,"{""C"": 0.42813323987193935, ""gamma"": ""scale""}",0.5295483555516843,0.5333333333333333,0.5303431534811872,0.5562996031746031,,0.30000000000000004,True,
PO6,sub-006,"{""C"": 0.8858667904100825, ""gamma"": ""scale""}",0.5761930355263587,0.38,0.35750853177970093,0.3959354413702239,,0.07000000000000017,True,
PO6,sub-007,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.5782899268120425,0.37,0.33484379150628324,0.3666225749559083,,0.05500000000000005,True,
PO6,sub-008,"{""C"": 100.0, ""gamma"": ""auto""}",0.5855130065045051,0.5733333333333334,0.5670942700638832,0.5696825197202484,,0.36,True,
PO6,sub-009,"{""C"": 2.636650898730358, ""gamma"": ""auto""}",0.5246899690887147,0.6433333333333333,0.641963451346336,0.641623952240246,,0.46499999999999997,True,
PO6,sub-010,"{""C"": 5.455594781168517, ""gamma"": ""auto""}",0.5693616356651149,0.46153846153846156,0.4628368794326241,0.4779535117254416,,0.19198684055927617,True,
PO6,sub-011,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.5758629688449256,0.37333333333333335,0.3446190092531556,0.38272015366430256,,0.06000000000000005,True,
PO7,sub-001,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.5281096462780729,0.4666666666666667,0.4662568056924708,0.46704950045596233,,0.19999999999999996,True,
PO7,sub-002,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.5150810039553771,0.7466666666666667,0.7375439715181465,0.7484444444444445,,0.6199999999999999,True,
PO7,sub-003,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.5297345614178773,0.57,0.5691992822300146,0.570077580379932,,0.355,True,
PO7,sub-004,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.5334823518588584,0.59,0.5904371471558519,0.5941936663720321,,0.385,True,
PO7,sub-005,"{""C"": 0.42813323987193935, ""gamma"": ""scale""}",0.5458766049134632,0.4533333333333333,0.4574258539159417,0.46755433119069484,,0.18000000000000005,True,
PO7,sub-006,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.5570960499172004,0.4,0.3951350237064523,0.4112688753662385,,0.09999999999999998,True,
