evaluation_setting,manuscript_table,dataset,published_dataset,task,primary,baseline,baseline_family,baseline_model,selected_method,primary_published_mean_abs_error_percent,baseline_published_mean_abs_error_percent,n_subjects,primary_mean_accuracy,primary_sd_accuracy,baseline_mean_accuracy,baseline_sd_accuracy,mean_difference,sd_difference,median_difference,q1_difference,q3_difference,min_difference,max_difference,n_exact_zero_before_rounding,n_created_zero_by_rounding,n_zero,n_positive,n_negative,n_nonzero,n_unique_abs_nonzero,n_tied_abs_groups,n_nonzero_in_tied_abs_groups,largest_abs_tie_group,positive_rank_sum,negative_rank_sum,wilcoxon_statistic,z_statistic,p_value_raw,p_value_method,rank_biserial_effect,cohen_dz,common_language_singlem_win_rate_excluding_zeros,holm_rank,holm_multiplier,p_value_holm,holm_family_size,significant_holm_0_05,direction
strict_svm,Tables II-III,atten_nback,N-back-2C,cognitive,SingLEM,BENDR,foundation,bendr,one_row_per_subject,0.002421652421617182,0.0007122507122474531,26,0.8415242165242163,0.09337913790343816,0.6274928774928775,0.05685563338296269,0.21403133903126925,0.07703912582097906,0.222222222222,0.185185185185,0.25694444444425,-0.055555555556,0.361111111111,0,0,0,25,1,26,15,8,19,3,350.0,1.0,1.0,-4.434987696258795,9.20775474830175e-06,asymptotic,0.9943019943019943,2.7782160915043104,0.9615384615384616,3,7,7.399702601113059e-05,9,True,singlem_higher
strict_svm,Tables II-III,atten_nback,N-back-2C,cognitive,SingLEM,BIOT,foundation,biot,one_row_per_subject,0.002421652421617182,8.547008546599955e-05,26,0.8415242165242163,0.09337913790343816,0.6047008547008547,0.09780755827239195,0.23682336182342306,0.11037326235713754,0.2453703703705,0.159722222222,0.31481481481475004,0.018518518519,0.435185185185,0,0,0,26,0,26,22,4,8,2,351.0,0.0,0.0,-4.45806399349448,8.270321439039442e-06,asymptotic,1.0,2.1456588014688536,1.0,2,8,7.399702601113059e-05,9,True,singlem_higher
strict_svm,Tables II-III,atten_nback,N-back-2C,cognitive,SingLEM,LaBraM,foundation,labram,one_row_per_subject,0.002421652421617182,0.0007122507122616639,26,0.8415242165242163,0.09337913790343816,0.6225071225071226,0.08446993167625733,0.21901709401696154,0.09221933312787453,0.212962962963,0.185185185185,0.24768518518525,0.037037037037,0.472222222222,0,0,0,26,0,26,19,5,12,3,351.0,0.0,0.0,-4.4593230541782125,8.22189177901451e-06,asymptotic,1.0,2.3749585535742797,1.0,1,9,7.399702601113059e-05,9,True,singlem_higher
strict_svm,Tables II-III,atten_nback,N-back-2C,cognitive,SingLEM,CBraMod,foundation,cbramod,one_row_per_subject,0.002421652421617182,0.0029344729344700227,26,0.8415242165242163,0.09337913790343816,0.7802706552706553,0.09977882579076808,0.061253561253576914,0.07205949964356492,0.046296296296,0.020833333333750002,0.083333333333,-0.037037037037,0.268518518519,2,0,2,21,3,24,15,6,15,4,285.5,14.5,14.5,-3.874988870259242,0.00010662957291202542,asymptotic,0.9033333333333333,0.8500414457019755,0.875,7,3,0.00031988871873607624,9,True,singlem_higher
strict_svm,Tables II-III,atten_nback,N-back-2C,cognitive,SingLEM,CodeBrain,foundation,codebrain,one_row_per_subject,0.002421652421617182,0.0017948717948570447,26,0.8415242165242163,0.09337913790343816,0.8012820512820513,0.10328057757349511,0.040242165242192304,0.0606289795940699,0.046296296296500006,0.00231481481475,0.083333333333,-0.101851851852,0.138888888889,1,0,1,19,6,25,12,7,20,5,267.0,58.0,58.0,-2.81661950595687,0.004853198376180354,asymptotic,0.6430769230769231,0.6637447226000878,0.76,9,1,0.004853198376180354,9,True,singlem_higher
strict_svm,Tables II-III,atten_nback,N-back-2C,cognitive,SingLEM,CSBrain,foundation,csbrain,one_row_per_subject,0.002421652421617182,0.0039031339031367907,26,0.8415242165242163,0.09337913790343816,0.7813390313390313,0.08376746682614902,0.060185185185230756,0.06548594337068267,0.074074074074,0.02546296296325,0.10879629629625,-0.111111111111,0.166666666667,1,0,1,21,4,25,14,5,16,5,288.5,36.5,36.5,-3.3953446443179858,0.0006854226046202322,asymptotic,0.7753846153846153,0.919055022916185,0.84,8,2,0.0013708452092404645,9,True,singlem_higher
strict_svm,Tables II-III,atten_nback,N-back-2C,cognitive,SingLEM,LUNA,foundation,luna_large,one_row_per_subject,0.002421652421617182,0.0032193732193803726,26,0.8415242165242163,0.09337913790343816,0.6937321937321939,0.09565036485628502,0.14779202279203846,0.09730528265790397,0.12962962963,0.085648148148,0.19212962962925,-0.046296296296,0.435185185185,0,0,0,25,1,26,18,5,13,3,349.0,2.0,2.0,-4.4090383289460755,1.0383064953402329e-05,asymptotic,0.9886039886039886,1.5188489129786575,0.9615384615384616,4,6,7.399702601113059e-05,9,True,singlem_higher
strict_svm,Tables II-III,atten_nback,N-back-2C,cognitive,SingLEM,CSP,classical,csp,one_row_per_subject,0.002421652421617182,0.0010541310541185567,26,0.8415242165242163,0.09337913790343816,0.5836894586894588,0.08439572868805133,0.25783475783480775,0.12927709490904332,0.27314814814849997,0.18749999999974998,0.342592592593,-0.148148148148,0.527777777778,0,0,0,25,1,26,21,5,10,2,348.0,3.0,3.0,-4.382034498390387,1.1757618576094965e-05,asymptotic,0.9829059829059829,1.994434961709303,0.9615384615384616,5,5,7.399702601113059e-05,9,True,singlem_higher
strict_svm,Tables II-III,atten_nback,N-back-2C,cognitive,SingLEM,Welch PSD,classical,welch_psd,one_row_per_subject,0.002421652421617182,0.000797720797720558,26,0.8415242165242163,0.09337913790343816,0.6477920227920227,0.08672049488677515,0.19373219373219228,0.11776156063873906,0.20833333333350001,0.12962962963,0.259259259259,-0.092592592593,0.407407407407,0,0,0,24,2,26,20,5,11,3,346.0,5.0,5.0,-4.331752462139867,1.4792719921693911e-05,asymptotic,0.9715099715099715,1.6451225058617454,0.9230769230769231,6,4,7.399702601113059e-05,9,True,singlem_higher
strict_svm,Tables II-III,atten_dsr,DSR-2C,cognitive,SingLEM,BENDR,foundation,bendr,one_row_per_subject,0.0037606837606602994,0.004615384615384244,26,0.8568376068376067,0.08746862142558934,0.5961538461538461,0.07358994212625967,0.2606837606836923,0.08600420714561889,0.25,0.19791666666625,0.31249999999975,0.083333333333,0.416666666667,0,0,0,26,0,26,14,6,18,4,351.0,0.0,0.0,-4.462745889353202,8.091599091922526e-06,asymptotic,1.0,3.0310582393058163,1.0,1,9,7.282439182730273e-05,9,True,singlem_higher
