evaluation_setting,manuscript_table,dataset,subject,primary,baseline,primary_accuracy,baseline_accuracy,difference_primary_minus_baseline,calibration_trial_ids_sha256,test_trial_ids_sha256
strict_svm,Tables II-III,dreyer,B81,SingLEM,CodeBrain,0.81875,0.61875,0.2,,
strict_svm,Tables II-III,dreyer,B61,SingLEM,CSBrain,0.86875,0.8125,0.05625,,
strict_svm,Tables II-III,dreyer,B62,SingLEM,CSBrain,0.65625,0.6625,-0.00625,,
strict_svm,Tables II-III,dreyer,B63,SingLEM,CSBrain,0.7,0.69375,0.00625,,
strict_svm,Tables II-III,dreyer,B64,SingLEM,CSBrain,0.75,0.45,0.3,,
strict_svm,Tables II-III,dreyer,B65,SingLEM,CSBrain,0.79375,0.8,-0.00625,,
strict_svm,Tables II-III,dreyer,B66,SingLEM,CSBrain,0.78125,0.81875,-0.0375,,
strict_svm,Tables II-III,dreyer,B67,SingLEM,CSBrain,0.88125,0.93125,-0.05,,
strict_svm,Tables II-III,dreyer,B68,SingLEM,CSBrain,0.65625,0.575,0.08125,,
strict_svm,Tables II-III,dreyer,B69,SingLEM,CSBrain,0.7125,0.6875,0.025,,
strict_svm,Tables II-III,dreyer,B70,SingLEM,CSBrain,0.75625,0.7125,0.04375,,
strict_svm,Tables II-III,dreyer,B71,SingLEM,CSBrain,0.75,0.6125,0.1375,,
strict_svm,Tables II-III,dreyer,B72,SingLEM,CSBrain,0.83125,0.825,0.00625,,
strict_svm,Tables II-III,dreyer,B73,SingLEM,CSBrain,0.70625,0.75,-0.04375,,
strict_svm,Tables II-III,dreyer,B74,SingLEM,CSBrain,0.63125,0.46875,0.1625,,
strict_svm,Tables II-III,dreyer,B75,SingLEM,CSBrain,0.7375,0.63125,0.10625,,
strict_svm,Tables II-III,dreyer,B76,SingLEM,CSBrain,0.775,0.65,0.125,,
strict_svm,Tables II-III,dreyer,B77,SingLEM,CSBrain,0.7375,0.725,0.0125,,
strict_svm,Tables II-III,dreyer,B78,SingLEM,CSBrain,0.58125,0.55625,0.025,,
strict_svm,Tables II-III,dreyer,B79,SingLEM,CSBrain,0.86875,0.775,0.09375,,
strict_svm,Tables II-III,dreyer,B80,SingLEM,CSBrain,0.66875,0.6375,0.03125,,
strict_svm,Tables II-III,dreyer,B81,SingLEM,CSBrain,0.81875,0.70625,0.1125,,
strict_svm,Tables II-III,dreyer,B61,SingLEM,LUNA,0.86875,0.76875,0.1,,
strict_svm,Tables II-III,dreyer,B62,SingLEM,LUNA,0.65625,0.55,0.10625,,
strict_svm,Tables II-III,dreyer,B63,SingLEM,LUNA,0.7,0.55625,0.14375,,
strict_svm,Tables II-III,dreyer,B64,SingLEM,LUNA,0.75,0.54375,0.20625,,
strict_svm,Tables II-III,dreyer,B65,SingLEM,LUNA,0.79375,0.54375,0.25,,
strict_svm,Tables II-III,dreyer,B66,SingLEM,LUNA,0.78125,0.66875,0.1125,,
strict_svm,Tables II-III,dreyer,B67,SingLEM,LUNA,0.88125,0.63125,0.25,,
strict_svm,Tables II-III,dreyer,B68,SingLEM,LUNA,0.65625,0.54375,0.1125,,
strict_svm,Tables II-III,dreyer,B69,SingLEM,LUNA,0.7125,0.625,0.0875,,
strict_svm,Tables II-III,dreyer,B70,SingLEM,LUNA,0.75625,0.63125,0.125,,
strict_svm,Tables II-III,dreyer,B71,SingLEM,LUNA,0.75,0.5625,0.1875,,
strict_svm,Tables II-III,dreyer,B72,SingLEM,LUNA,0.83125,0.68125,0.15,,
strict_svm,Tables II-III,dreyer,B73,SingLEM,LUNA,0.70625,0.6375,0.06875,,
strict_svm,Tables II-III,dreyer,B74,SingLEM,LUNA,0.63125,0.525,0.10625,,
strict_svm,Tables II-III,dreyer,B75,SingLEM,LUNA,0.7375,0.5625,0.175,,
strict_svm,Tables II-III,dreyer,B76,SingLEM,LUNA,0.775,0.475,0.3,,
strict_svm,Tables II-III,dreyer,B77,SingLEM,LUNA,0.7375,0.5625,0.175,,
strict_svm,Tables II-III,dreyer,B78,SingLEM,LUNA,0.58125,0.54375,0.0375,,
strict_svm,Tables II-III,dreyer,B79,SingLEM,LUNA,0.86875,0.70625,0.1625,,
strict_svm,Tables II-III,dreyer,B80,SingLEM,LUNA,0.66875,0.625,0.04375,,
strict_svm,Tables II-III,dreyer,B81,SingLEM,LUNA,0.81875,0.56875,0.25,,
strict_svm,Tables II-III,dreyer,B61,SingLEM,MIRepNet,0.86875,0.93125,-0.0625,,
strict_svm,Tables II-III,dreyer,B62,SingLEM,MIRepNet,0.65625,0.9375,-0.28125,,
strict_svm,Tables II-III,dreyer,B63,SingLEM,MIRepNet,0.7,0.775,-0.075,,
strict_svm,Tables II-III,dreyer,B64,SingLEM,MIRepNet,0.75,0.4625,0.2875,,
strict_svm,Tables II-III,dreyer,B65,SingLEM,MIRepNet,0.79375,0.85625,-0.0625,,
strict_svm,Tables II-III,dreyer,B66,SingLEM,MIRepNet,0.78125,0.65,0.13125,,
strict_svm,Tables II-III,dreyer,B67,SingLEM,MIRepNet,0.88125,0.56875,0.3125,,
strict_svm,Tables II-III,dreyer,B68,SingLEM,MIRepNet,0.65625,0.54375,0.1125,,
