channel,subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
C3,VP011,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.773277903199163,0.6388888888888888,0.6017021276595744,0.7216748768472906,0.6388888888888888,0.2777777777777778
Cz,VP011,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.7569665133249276,0.6666666666666666,0.6426470588235295,0.7279549718574109,0.6666666666666666,0.33333333333333337
CP5,VP011,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.7489453293155403,0.6388888888888888,0.618443699610472,0.6767786992579659,0.6388888888888888,0.2777777777777778
CP1,VP011,"{""C"": 11.288378916846883, ""gamma"": ""scale""}",0.7400418133802817,0.6203703703703703,0.5908712926175737,0.669156626506024,0.6203703703703703,0.2407407407407407
P7,VP011,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.6866491094942642,0.6388888888888888,0.6363636363636364,0.6428571428571428,0.6388888888888888,0.2777777777777778
P3,VP011,"{""C"": 69.51927961775606, ""gamma"": ""scale""}",0.7180505365558747,0.6111111111111112,0.5736842105263158,0.6712473572938689,0.6111111111111112,0.2222222222222222
Pz,VP011,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.7163154659918486,0.5370370370370371,0.47162426614481406,0.5733695652173914,0.537037037037037,0.07407407407407407
POz,VP011,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.6629213483146067,0.5277777777777778,0.42857142857142855,0.5909090909090908,0.5277777777777778,0.05555555555555558
O1,VP011,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.639772227112676,0.5277777777777778,0.43881813550687726,0.5759137769447047,0.5277777777777778,0.05555555555555558
Fp2,VP011,"{""C"": 1.8329807108324356, ""gamma"": ""auto""}",0.8683880800930963,0.7037037037037037,0.6986396930589467,0.7183823529411765,0.7037037037037037,0.40740740740740744
AF6,VP011,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.8407210766761328,0.6759259259259259,0.6676923076923077,0.6952797868290826,0.6759259259259259,0.35185185185185186
F2,VP011,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.8110177865612648,0.6018518518518519,0.5829366861248316,0.6244239631336406,0.6018518518518519,0.20370370370370372
FC2,VP011,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.7905331415566181,0.6574074074074074,0.6380106893740375,0.7003491924923615,0.6574074074074074,0.31481481481481477
FC6,VP011,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.8017695957513233,0.6203703703703703,0.5908712926175737,0.669156626506024,0.6203703703703703,0.2407407407407407
C4,VP011,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.7979478976077113,0.6296296296296297,0.5939849624060151,0.6997885835095138,0.6296296296296297,0.2592592592592593
T8,VP011,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.7161517293031596,0.5648148148148148,0.5441400987876066,0.5791788856304985,0.5648148148148149,0.12962962962962965
CP2,VP011,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.7455624761400335,0.5925925925925926,0.5533834586466165,0.642706131078224,0.5925925925925926,0.18518518518518523
CP6,VP011,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.7257905138339922,0.6481481481481481,0.6187290969899666,0.7142857142857143,0.6481481481481481,0.2962962962962963
P4,VP011,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.7073712804049883,0.5740740740740741,0.5208333333333334,0.6333333333333333,0.5740740740740741,0.14814814814814814
