AFz	VP025_B	acc=1.0000	f1=1.0000	precision=1.0000	kappa=1.0000	inner_f1=0.8083
AFz	VP026_B	acc=0.7361	f1=0.7361	precision=0.7363	kappa=0.4722	inner_f1=0.8360
F1	VP001_B	acc=0.6806	f1=0.6698	precision=0.7076	kappa=0.3611	inner_f1=0.7972
F1	VP002_B	acc=0.6528	f1=0.6411	precision=0.6757	kappa=0.3056	inner_f1=0.7748
F1	VP003_B	acc=0.7917	f1=0.7907	precision=0.7974	kappa=0.5833	inner_f1=0.7637
F1	VP004_B	acc=0.7361	f1=0.7361	precision=0.7363	kappa=0.4722	inner_f1=0.8000
F1	VP005_B	acc=0.6667	f1=0.6643	precision=0.6714	kappa=0.3333	inner_f1=0.8139
F1	VP006_B	acc=0.7222	f1=0.7220	precision=0.7229	kappa=0.4444	inner_f1=0.7972
F1	VP007_B	acc=0.8056	f1=0.8050	precision=0.8094	kappa=0.6111	inner_f1=0.8304
F1	VP008_B	acc=0.8889	f1=0.8885	precision=0.8938	kappa=0.7778	inner_f1=0.7889
F1	VP009_B	acc=0.8333	f1=0.8333	precision=0.8333	kappa=0.6667	inner_f1=0.7747
F1	VP010_B	acc=0.7083	f1=0.7069	precision=0.7124	kappa=0.4167	inner_f1=0.8053
F1	VP011_B	acc=0.6250	f1=0.6160	precision=0.6379	kappa=0.2500	inner_f1=0.8028
F1	VP012_B	acc=0.9722	f1=0.9722	precision=0.9737	kappa=0.9444	inner_f1=0.7860
F1	VP013_B	acc=0.8194	f1=0.8177	precision=0.8320	kappa=0.6389	inner_f1=0.7887
F1	VP014_B	acc=0.9583	f1=0.9583	precision=0.9587	kappa=0.9167	inner_f1=0.8083
F1	VP015_B	acc=0.8611	f1=0.8594	precision=0.8799	kappa=0.7222	inner_f1=0.7804
F1	VP016_B	acc=0.9167	f1=0.9166	precision=0.9180	kappa=0.8333	inner_f1=0.7860
F1	VP017_B	acc=0.6806	f1=0.6790	precision=0.6841	kappa=0.3611	inner_f1=0.7718
F1	VP018_B	acc=0.7778	f1=0.7778	precision=0.7778	kappa=0.5556	inner_f1=0.8055
F1	VP019_B	acc=0.7500	f1=0.7483	precision=0.7571	kappa=0.5000	inner_f1=0.8139
F1	VP020_B	acc=0.8056	f1=0.8054	precision=0.8065	kappa=0.6111	inner_f1=0.7833
F1	VP021_B	acc=0.8750	f1=0.8748	precision=0.8776	kappa=0.7500	inner_f1=0.8111
F1	VP022_B	acc=0.6528	f1=0.6495	precision=0.6588	kappa=0.3056	inner_f1=0.8111
F1	VP023_B	acc=0.7500	f1=0.7498	precision=0.7508	kappa=0.5000	inner_f1=0.7916
F1	VP024_B	acc=0.7222	f1=0.7078	precision=0.7769	kappa=0.4444	inner_f1=0.7972
F1	VP025_B	acc=0.9722	f1=0.9722	precision=0.9737	kappa=0.9444	inner_f1=0.7832
F1	VP026_B	acc=0.6806	f1=0.6800	precision=0.6818	kappa=0.3611	inner_f1=0.7915
FC5	VP001_B	acc=0.5972	f1=0.5789	precision=0.6176	kappa=0.1944	inner_f1=0.8167
FC5	VP002_B	acc=0.6528	f1=0.6268	precision=0.7118	kappa=0.3056	inner_f1=0.8111
FC5	VP003_B	acc=0.7639	f1=0.7638	precision=0.7641	kappa=0.5278	inner_f1=0.7860
FC5	VP004_B	acc=0.7083	f1=0.7083	precision=0.7085	kappa=0.4167	inner_f1=0.7998
FC5	VP005_B	acc=0.7361	f1=0.7336	precision=0.7454	kappa=0.4722	inner_f1=0.8109
FC5	VP006_B	acc=0.6528	f1=0.6522	precision=0.6538	kappa=0.3056	inner_f1=0.7861
FC5	VP007_B	acc=0.7222	f1=0.7203	precision=0.7286	kappa=0.4444	inner_f1=0.7944
FC5	VP008_B	acc=0.8889	f1=0.8889	precision=0.8889	kappa=0.7778	inner_f1=0.8220
FC5	VP009_B	acc=0.8056	f1=0.8056	precision=0.8056	kappa=0.6111	inner_f1=0.8194
